Rank,Company Name,Country,Number of Employees,Previous Rank,Revenues($millions),Revenue Change,Profits($millions),Profit Change,Assets($millions)
262,Mitsubishi Electric,Japan,"138,700",276,"$39,119",6.9%,"$1,942.6 ",2.1%,"$37,519"
263,ZF Friedrichshafen,Germany,"136,820",320,"$38,888",20.2%,$949.9 ,-12.1%,"$30,719"
264,Caterpillar,USA,"95,400",194,"$38,537",-18.0%,-$67.0 ,-103.2%,"$74,704"
265,Liberty Mutual Insurance Group,USA,"50,000",249,"$38,308",-2.9%,"$1,006.0 ",95.7%,"$125,592"
266,Power Corp. of Canada,Canada,"30,259",351,"$38,286",27.9%,$855.5 ,-40.5%,"$315,387"
267,Morgan Stanley,USA,"55,311",263,"$37,949",0.1%,"$5,979.0 ",-2.4%,"$814,949"
268,Hengli Group,China,"61,400",-,"$37,880",12.2%,$821.7 ,43.7%,"$14,838"
269,SSE,Britain,"21,157",216,"$37,813",-12.7%,"$2,082.9 ",200.3%,"$29,899"
270,Massachusetts Mutual Life,USA,"11,737",258,"$37,788",-1.2%,"$1,273.5 ",-10.6%,"$271,040"
271,Goldman Sachs Group,USA,"34,400",252,"$37,712",-3.8%,"$7,398.0 ",21.6%,"$860,165"
272,Johnson Controls International,Ireland,"209,000",-,"$37,674",-6.3%,-$868.0 ,-155.5%,"$63,253"
273,GlaxoSmithKline,Britain,"99,300",278,"$37,642",3.0%,"$1,230.9 ",-90.4%,"$72,985"
274,China Huaneng Group,China,"143,691",217,"$37,543",-13.1%,-$85.9 ,-111.1%,"$144,306"
275,Energy Transfer Equity,USA,"30,992",225,"$37,504",-11.0%,$995.0 ,-16.3%,"$79,011"
276,Shenhua Group,China,"202,200",270,"$37,322",-0.8%,"$1,916.9 ",37.9%,"$140,911"
277,Greenland Holding Group,China,"39,887",311,"$37,240",12.8%,"$1,085.2 ",-1.0%,"$105,495"
278,TIAA-CREF,USA,"12,997",291,"$37,105",5.5%,"$1,492.3 ",22.9%,"$523,194"
279,Jardine Matheson,China,"430,000",273,"$37,051",0.1%,"$2,503.0 ",39.3%,"$71,523"
280,Oracle,USA,"136,000",260,"$37,047",-3.1%,"$8,901.0 ",-10.4%,"$112,180"
281,ACS,Spain,"117,542",255,"$36,992",-4.5%,$830.5 ,3.2%,"$35,196"
282,Sumitomo,Japan,"70,900",308,"$36,888",10.4%,"$1,577.1 ",154.0%,"$69,669"
283,Tyson Foods,USA,"114,000",235,"$36,881",-10.9%,"$1,768.0 ",44.9%,"$22,373"
284,Barclays,Britain,"119,300",181,"$36,789",-25.7%,"$2,807.4 ",-,"$1,498,612"
285,Poste Italiane,Italy,"136,739",305,"$36,617",7.4%,$687.8 ,12.3%,"$203,760"
286,Centrica,Britain,"38,278",220,"$36,580",-14.4%,"$2,256.7 ",-,"$27,046"
287,United Continental Holdings,USA,"88,000",265,"$36,556",-3.5%,"$2,263.0 ",-69.2%,"$40,140"
288,Allstate,USA,"43,275",283,"$36,534",2.5%,"$1,877.0 ",-13.5%,"$108,610"
289,Pertamina,Indonesia,"27,227",230,"$36,487",-12.6%,"$3,147.0 ",121.6%,"$47,233"
290,Magna International,Canada,"155,450",306,"$36,445",7.6%,"$2,031.0 ",0.9%,"$22,566"
291,UBS Group,Switzerland,"59,387",257,"$36,230",-5.9%,"$3,252.2 ",-49.6%,"$920,291"
292,Intesa Sanpaolo,Italy,"89,126",224,"$36,225",-14.2%,"$3,440.3 ",13.2%,"$764,712"
293,Weston,Canada,"195,000",274,"$36,211",-1.3%,$414.9 ,0.6%,"$28,299"
294,Mitsubishi Heavy Industries,Japan,"82,728",307,"$36,122",7.2%,$809.6 ,52.3%,"$49,205"
295,Rajesh Exports,India,"328,000",423,"$36,114",43.1%,$185.8 ,13.8%,"$3,717"
296,Pegatron,Taiwan,"196,251",259,"$35,891",-6.1%,$599.6 ,-20.1%,"$13,776"
297,Meiji Yasuda Life Insurance,Japan,"41,872",284,"$35,767",0.4%,"$2,064.8 ",15.8%,"$362,739"
298,A.P. Møller-Mærsk A/S,Denmark,"87,736",240,"$35,464",-12.0%,"-$1,939.0 ",-345.1%,"$61,118"
299,SABIC,Saudi Arabia,"35,000",247,"$35,421",-10.3%,"$4,757.1 ",-4.9%,"$84,489"
300,Bouygues,France,"117,997",280,"$35,277",-2.2%,$809.5 ,81.1%,"$36,758"
301,Volvo,Sweden,"89,477",272,"$35,269",-4.8%,"$1,535.8 ",-14.0%,"$43,924"
302,Talanx,Germany,"20,039",289,"$35,101",-0.8%,"$1,003.0 ",23.2%,"$165,124"
303,Lufthansa Group,Germany,"107,276",285,"$35,011",-1.5%,"$1,964.0 ",4.3%,"$36,593"
304,Royal Bank of Canada,Canada,"75,510",297,"$34,904",0.3%,"$7,839.6 ",-1.8%,"$880,724"
305,Accenture,Ireland,"384,000",312,"$34,798",5.7%,"$4,111.9 ",34.7%,"$20,609"
306,Repsol,Spain,"24,396",250,"$34,485",-12.5%,"$1,919.7 ",-,"$68,392"
307,China Vanke,China,"58,280",356,"$34,458",17.5%,"$3,164.5 ",9.8%,"$119,555"
308,Publix Super Markets,USA,"191,000",317,"$34,274",5.1%,"$2,025.7 ",3.1%,"$17,464"
309,Edeka Zentrale,Germany,"351,500",321,"$34,193",6.8%,$356.0 ,28.3%,"$6,921"
310,Sainsbury's,Britain,"118,700",288,"$34,149",-3.5%,$490.9 ,-30.8%,"$24,674"
311,Alimentation Couche-Tard,Canada,"105,000",301,"$34,145",-1.1%,"$1,193.5 ",27.9%,"$12,304"
312,China Energy Engineering,China,"169,173",309,"$33,930",2.1%,$421.0 ,-22.0%,"$44,181"
313,Hyundai Heavy Industries,South Korea,"30,767",237,"$33,881",-17.1%,$469.8 ,-,"$40,783"
314,ABB,Switzerland,"132,300",286,"$33,828",-4.7%,"$1,899.0 ",-1.8%,"$39,499"
315,American Express,USA,"56,400",302,"$33,823",-1.8%,"$5,408.0 ",4.7%,"$158,893"
316,Rio Tinto Group,Britain,"51,029",296,"$33,781",-3.0%,"$4,617.0 ",-,"$89,263"
317,SNCF,France,"193,718",319,"$33,747",3.8%,$565.1 ,-,"$39,993"
318,CRRC,China,"183,061",266,"$33,739",-10.8%,"$1,700.3 ",-9.6%,"$48,681"
319,CK Hutchison Holdings,China,"290,000",473,"$33,475",47.4%,"$4,252.4 ",-72.2%,"$130,721"
320,Jizhong Energy Group,China,"127,298",267,"$33,366",-11.8%,-$153.9 ,-,"$30,819"
321,TJX,USA,"235,000",338,"$33,184",7.2%,"$2,298.2 ",0.9%,"$12,884"
322,Xinxing Cathay International,China,"59,429",318,"$33,174",1.9%,$448.2 ,-1.6%,"$18,705"
323,Hyundai Mobis,South Korea,"29,499",310,"$32,972",-0.7%,"$2,617.8 ",-3.1%,"$34,541"
324,Aisin Seiki,Japan,"99,389",393,"$32,879",21.6%,"$1,168.9 ",39.9%,"$29,964"
325,Rite Aid,USA,"70,430",340,"$32,845",6.9%,$4.1 ,-97.6%,"$11,594"
326,Shaanxi Yanchang Petroleum,China,"134,134",325,"$32,652",2.8%,-$22.6 ,-,"$45,552"
327,DZ Bank,Germany,"28,264",334,"$32,636",4.6%,"$1,623.4 ",3.4%,"$537,278"
328,UniCredit Group,Italy,"117,659",300,"$32,539",-5.9%,"-$13,038.0 ",-793.7%,"$906,489"
329,China Everbright Group,China,"61,400",313,"$32,461",-1.3%,"$1,877.8 ",-11.2%,"$627,701"
330,Daiwa House Industry,Japan,"60,539",402,"$32,421",21.9%,"$1,861.5 ",115.8%,"$31,917"
331,Nike,USA,"70,700",343,"$32,376",5.8%,"$3,760.0 ",14.9%,"$21,396"
332,Iberdrola,Spain,"28,389",295,"$32,308",-7.3%,"$2,991.3 ",11.4%,"$112,536"
333,Commonwealth Bank,Australia,"45,129",269,"$32,287",-14.3%,"$6,712.9 ",-10.9%,"$694,565"
334,Sinomach,China,"115,390",293,"$32,237",-8.2%,$502.0 ,-34.5%,"$39,142"
335,Fresenius,Germany,"232,873",341,"$32,161",4.9%,"$1,761.6 ",16.9%,"$48,984"
336,China Aerospace Science & Technology,China,"170,357",344,"$32,094",5.0%,"$1,996.2 ",7.7%,"$55,721"
337,Shaanxi Coal & Chemical Industry,China,"123,559",347,"$31,926",5.3%,-$254.4 ,-,"$64,151"
338,Evergrande Real Estate Group,China,"89,250",496,"$31,828",50.2%,"$2,368.8 ",-4.3%,"$194,384"
339,Jiangxi Copper,China,"25,460",328,"$31,680",0.4%,$20.4 ,-,"$16,108"
340,Sompo Japan Nipponkoa,Japan,"47,430",388,"$31,559",16.4%,"$1,535.7 ",15.5%,"$107,092"
341,China Poly Group,China,"76,425",401,"$31,508",18.1%,$744.1 ,-11.4%,"$95,657"
342,Chubb,Switzerland,"31,000",-,"$31,469",65.7%,"$4,135.0 ",45.9%,"$159,786"
343,Zhejiang Geely Holding Group,China,"60,712",410,"$31,430",19.5%,"$1,265.7 ",341.6%,"$29,749"
344,Exelon,USA,"34,396",355,"$31,360",6.5%,"$1,134.0 ",-50.0%,"$114,904"
345,General Dynamics,USA,"98,800",330,"$31,353",-0.4%,"$2,955.0 ",-0.3%,"$32,872"
346,BT Group,Britain,"106,400",369,"$31,333",9.3%,"$2,484.6 ",-36.2%,"$52,972"
347,Canon,Japan,"197,673",332,"$31,271",-0.4%,"$1,385.0 ",-23.9%,"$44,062"
348,Zhejiang Materials Industry Group,China,"18,150",359,"$31,185",7.3%,$324.3 ,47.2%,"$11,018"
349,Mitsubishi Chemical Holdings,Japan,"69,291",324,"$31,158",5.6%,"$1,442.1 ",237.1%,"$40,064"
350,BHP Billiton,Australia,"26,827",168,"$30,912",-40.9%,"-$6,385.0 ",-434.3%,"$118,953"
351,Toronto-Dominion Bank,Canada,"81,233",350,"$30,855",2.3%,"$6,646.1 ",4.5%,"$878,268"
352,Fuji Heavy Industries,Japan,"36,668",395,"$30,696",14.0%,"$2,605.8 ",-28.4%,"$24,794"
353,Bridgestone,Japan,"143,616",333,"$30,678",-2.0%,"$2,441.3 ",3.9%,"$31,901"
354,Credit Suisse Group,Switzerland,"47,170",292,"$30,588",-13.0%,"-$2,750.7 ",-,"$806,950"
355,China Aerospace Science & Industry,China,"148,682",381,"$30,582",9.7%,"$1,443.7 ",-1.8%,"$36,999"
356,JFE Holdings,Japan,"60,439",371,"$30,539",6.8%,$627.0 ,123.6%,"$38,920"
357,Mizuho Financial Group,Japan,"59,179",399,"$30,390",13.5%,"$5,570.1 ",-0.3%,"$1,799,736"
358,Gilead Sciences,USA,"9,000",316,"$30,390",-6.9%,"$13,501.0 ",-25.4%,"$56,977"
359,CHS,USA,"12,157",299,"$30,347",-12.2%,$424.2 ,-45.7%,"$17,318"
360,Bharat Petroleum,India,"13,395",358,"$30,316",4.2%,"$1,300.5 ",6.7%,"$16,801"
361,3M,USA,"91,584",348,"$30,109",-0.5%,"$5,050.0 ",4.5%,"$32,906"
362,China Electronics,China,"144,659",329,"$30,010",-4.8%,$321.9 ,82.6%,"$36,575"
363,CRH,Ireland,"86,778",411,"$29,973",14.3%,"$1,374.6 ",71.2%,"$33,320"
364,China State Shipbuilding,China,"68,025",349,"$29,877",-1.0%,$367.6 ,-16.1%,"$40,773"
365,Jiangsu Shagang Group,China,"35,133",314,"$29,862",-8.8%,$352.1 ,148.5%,"$23,720"
366,China Ocean Shipping,China,"106,478",465,"$29,743",29.5%,"$1,489.0 ",30.1%,"$94,792"
367,Mazda Motor,Japan,"48,849",373,"$29,665",4.5%,$865.5 ,-22.7%,"$22,660"
368,China Power Investment,China,"127,343",342,"$29,493",-3.7%,$436.6 ,50.9%,"$126,068"
369,Taiwan Semiconductor,Taiwan,"46,968",403,"$29,388",10.6%,"$10,283.7 ",7.8%,"$58,535"
370,Vale,Brazil,"73,062",417,"$29,363",14.7%,"$3,982.0 ",-,"$99,014"
371,Time Warner,USA,"25,000",376,"$29,318",4.3%,"$3,926.0 ",2.4%,"$65,966"
372,Shandong Energy Group,China,"179,689",426,"$29,299",16.6%,$39.2 ,-,"$39,887"
373,Suzuki Motor,Japan,"62,992",405,"$29,252",10.4%,"$1,476.2 ",51.9%,"$27,969"
374,LyondellBasell Industries,Netherlands,"13,000",315,"$29,183",-10.9%,"$3,836.0 ",-14.3%,"$23,442"
375,Royal Philips,Netherlands,"114,731",368,"$29,003",1.1%,"$1,601.3 ",123.8%,"$34,068"
376,Charter Communications,USA,"91,500",-,"$29,003",197.3%,"$3,522.0 ",-,"$149,067"
377,Medtronic,Ireland,"98,017",-,"$28,833",42.3%,"$3,538.0 ",32.3%,"$99,782"
378,Northwestern Mutual,USA,"5,646",377,"$28,799",2.4%,$818.0 ,0.4%,"$250,441"
379,L'Oreal,France,"89,331",378,"$28,572",2.0%,"$3,434.5 ",-6.1%,"$37,577"
380,Dalian Wanda Group,China,"155,905",385,"$28,483",4.0%,$110.3 ,-95.5%,"$152,701"
381,Medipal Holdings,Japan,"15,745",424,"$28,277",12.1%,$267.7 ,4.5%,"$13,696"
382,China Huadian,China,"107,000",331,"$28,204",-10.3%,$360.6 ,-70.3%,"$112,115"
383,AIA Group,China,"20,000",456,"$28,196",21.1%,"$4,164.0 ",54.7%,"$185,074"
384,Hindustan Petroleum,India,"10,422",367,"$28,166",-2.3%,"$1,228.1 ",63.4%,"$12,370"
385,Migros Group,Switzerland,"77,704",372,"$28,155",-1.2%,$693.3 ,-16.7%,"$62,536"
386,Air France-KLM Group,France,"82,175",363,"$27,920",-3.4%,$875.8 ,569.1%,"$24,185"
387,Compass Group,Britain,"527,180",387,"$27,837",2.5%,"$1,408.5 ",5.0%,"$13,693"
388,Schlumberger,USA,"100,000",287,"$27,810",-21.6%,"-$1,687.0 ",-181.4%,"$77,956"
389,Kansai Electric Power,Japan,"32,666",391,"$27,792",2.8%,"$1,299.3 ",10.8%,"$61,513"
390,Quanta Computer,Taiwan,"92,698",326,"$27,715",-12.7%,$469.3 ,-16.4%,"$18,229"
391,Westpac Banking,Australia,"35,280",336,"$27,704",-10.8%,"$5,477.0 ",-12.7%,"$642,083"
392,Coop Group,Switzerland,"73,451",396,"$27,669",2.8%,$482.1 ,11.5%,"$18,369"
393,Facebook,USA,"17,048",-,"$27,638",54.2%,"$10,217.0 ",177.0%,"$64,961"
394,Travelers,USA,"30,900",397,"$27,625",3.1%,"$3,014.0 ",-12.4%,"$100,245"
395,Capital One Financial,USA,"47,300",430,"$27,519",9.6%,"$3,751.0 ",-7.4%,"$357,033"
396,Twenty-First Century Fox,USA,"21,500",360,"$27,326",-5.7%,"$2,755.0 ",-66.8%,"$48,365"
397,China Guodian,China,"124,056",345,"$27,315",-10.5%,$268.7 ,-67.2%,"$114,611"
398,LafargeHolcim,Switzerland,"90,903",438,"$27,308",11.4%,"$1,817.9 ",-,"$68,521"
399,Schneider Electric,France,"143,901",354,"$27,307",-7.6%,"$1,935.2 ",24.0%,"$44,137"
400,China Electronics Technology Group,China,"158,064",408,"$27,292",3.3%,"$1,611.6 ",-1.5%,"$35,898"
401,United Services Auto. Assn.,USA,"29,943",444,"$27,131",11.4%,"$1,779.1 ",-21.7%,"$147,290"
402,World Fuel Services,USA,"5,000",346,"$27,016",-11.1%,$126.5 ,-27.5%,"$5,413"
403,Phoenix Pharmahandel,Germany,"26,611",416,"$26,976",5.2%,$135.4 ,-39.5%,"$9,292"
404,Veolia Environnement,France,"156,225",382,"$26,972",-2.6%,$423.6 ,-15.2%,"$40,022"
405,National Australia Bank,Australia,"34,263",304,"$26,958",-21.1%,$259.0 ,-94.8%,"$594,967"
406,Philip Morris International,USA,"79,500",398,"$26,685",-0.4%,"$6,967.0 ",1.4%,"$36,851"
407,Deere,USA,"56,767",364,"$26,644",-7.7%,"$1,523.9 ",-21.4%,"$57,981"
408,East Japan Railway,Japan,"85,834",447,"$26,587",11.3%,"$2,565.0 ",25.5%,"$71,009"
409,Achmea,Netherlands,"14,921",413,"$26,494",2.8%,-$423.5 ,-199.7%,"$98,096"
410,Kraft Heinz,USA,"41,000",-,"$26,487",44.4%,"$3,632.0 ",472.9%,"$120,480"
411,Cathay Life Insurance,Taiwan,"36,578",468,"$26,292",14.9%,$934.0 ,-22.5%,"$172,442"
412,Tech Data,USA,"9,500",409,"$26,235",-0.5%,$195.1 ,-26.6%,"$7,932"
413,Samsung Life Insurance,South Korea,"5,284",439,"$26,222",7.0%,"$1,770.3 ",65.3%,"$219,157"
414,Avnet,USA,"17,700",380,"$26,219",-6.1%,$506.5 ,-11.4%,"$11,240"
415,Nokia,Finland,"102,687",-,"$26,113",73.4%,-$847.1 ,-131.0%,"$47,354"
416,Enbridge,Canada,"7,733",407,"$26,073",-1.4%,"$1,560.9 ",695.0%,"$64,011"
417,Gas Natural Fenosa,Spain,"17,229",365,"$26,070",-11.5%,"$1,489.6 ",-10.6%,"$49,688"
418,Australia & New Zeal. Bnkg.,Australia,"46,554",362,"$26,032",-10.1%,"$4,199.9 ",-28.4%,"$699,976"
419,Ericsson,Sweden,"111,464",357,"$26,004",-11.2%,$200.5 ,-87.5%,"$31,199"
420,Sumitomo Electric Industries,Japan,"248,330",440,"$25,975",6.3%,$992.7 ,31.0%,"$26,062"
421,Mondelez International,USA,"90,000",352,"$25,923",-12.5%,"$1,659.0 ",-77.2%,"$61,538"
422,Old Mutual,Britain,"68,527",500,"$25,913",23.8%,$769.3 ,-18.0%,"$211,943"
423,Idemitsu Kosan,Japan,"9,139",412,"$25,888",-1.0%,$813.7 ,-,"$23,711"
424,Bank of Nova Scotia,Canada,"88,901",428,"$25,817",2.8%,"$5,362.2 ",-4.9%,"$668,805"
425,Macy's,USA,"148,300",389,"$25,778",-4.8%,$619.0 ,-42.3%,"$19,851"
426,Mapfre Group,Spain,"37,020",434,"$25,775",3.9%,$857.5 ,9.1%,"$71,590"
427,La Poste,France,"240,407",418,"$25,760",0.8%,$938.9 ,33.3%,"$257,526"
428,Inditex,Spain,"162,450",463,"$25,733",11.6%,"$3,485.0 ",9.9%,"$21,203"
429,AbbVie,USA,"30,000",469,"$25,638",12.2%,"$5,953.0 ",15.7%,"$66,099"
430,Datong Coal Mine Group,China,"162,542",322,"$25,630",-19.8%,-$214.8 ,-,"$40,012"
431,Lotte Shopping,South Korea,"26,357",414,"$25,444",-1.2%,$144.9 ,-,"$34,710"
432,Standard Life,Britain,"6,302",-,"$25,279",46.9%,$496.7 ,-77.2%,"$235,324"
433,Shanxi Coking Coal Group,China,"209,817",337,"$25,123",-19.1%,-$10.0 ,-113.1%,"$39,206"
434,Adecco Group,Switzerland,"33,000",442,"$25,112",2.9%,$799.5 ,"8,909,5%","$10,651"
435,International Airlines Group,Britain,"63,387",421,"$24,956",-1.6%,"$2,135.4 ",28.8%,"$28,868"
436,McDonald's,USA,"375,000",420,"$24,622",-3.1%,"$4,686.5 ",3.5%,"$31,024"
437,NEC,Japan,"107,729",452,"$24,596",4.5%,$252.0 ,-60.1%,"$24,091"
438,DuPont,USA,"46,000",379,"$24,594",-12.0%,"$2,513.0 ",28.7%,"$39,964"
439,China National Aviation Fuel Group,China,"11,739",484,"$24,588",11.3%,$320.0 ,-4.3%,"$6,093"
440,Northrop Grumman,USA,"67,000",450,"$24,508",4.2%,"$2,200.0 ",10.6%,"$25,614"
441,Brookfield Asset Management,Canada,"55,700",-,"$24,411",22.6%,"$1,651.0 ",-29.5%,"$159,826"
442,Mercantil Servicios Financieros,Venezuela,"8,370",-,"$24,403",50.3%,"$2,004.2 ",-10.5%,"$148,659"
443,SAP,Germany,"84,183",462,"$24,397",5.8%,"$4,031.9 ",18.6%,"$46,696"
444,ConocoPhillips,USA,"13,300",339,"$24,360",-21.3%,"-$3,615.0 ",-,"$89,772"
445,Yangquan Coal Industry Group,China,"146,236",374,"$24,284",-14.2%,$11.1 ,-,"$30,793"
446,Danone,France,"99,187",433,"$24,267",-2.4%,"$1,902.1 ",33.8%,"$46,350"
447,Samsung C&T,South Korea,"13,898",-,"$24,217",105.2%,$92.5 ,-96.2%,"$36,816"
448,Shanxi LuAn Mining Group,China,"95,666",370,"$24,087",-15.9%,-$106.9 ,-,"$29,026"
449,Raytheon,USA,"63,000",457,"$24,069",3.5%,"$2,211.0 ",6.6%,"$30,052"
450,Midea Group,China,"126,418",481,"$24,060",8.5%,"$2,210.4 ",9.3%,"$24,549"
451,Chubu Electric Power,Japan,"30,635",448,"$24,028",1.1%,"$1,058.2 ",-25.2%,"$48,580"
452,BAE Systems,Britain,"76,000",415,"$24,011",-6.4%,"$1,232.3 ",-12.1%,"$28,383"
453,Tesoro,USA,"6,308",375,"$24,005",-14.7%,$734.0 ,-52.3%,"$20,398"
454,China Datang,China,"97,091",406,"$23,871",-9.7%,$243.9 ,32.9%,"$101,631"
455,Flextronics International,Singapore,"200,000",441,"$23,863",-2.3%,$319.6 ,-28.0%,"$12,593"
456,Arrow Electronics,USA,"18,700",455,"$23,825",2.3%,$522.8 ,5.0%,"$14,206"
457,Heraeus Holding,Germany,"12,369",-,"$23,793",65.9%,-,-,"$4,982"
458,Compal Electronics,Taiwan,"64,728",400,"$23,773",-10.9%,$252.1 ,-7.9%,"$10,769"
459,Yango Financial Holding,China,"10,234",-,"$23,657",11.5%,$159.2 ,-59.0%,"$24,231"
460,Qualcomm,USA,"30,500",422,"$23,554",-6.8%,"$5,705.0 ",8.2%,"$52,359"
461,Alfresa Holdings,Japan,"13,217",492,"$23,551",9.7%,$285.1 ,-2.1%,"$11,273"
462,Alibaba Group Holding,China,"50,097",-,"$23,517",47.9%,"$6,489.5 ",-42.2%,"$73,538"
463,Koç Holding,Turkey,"95,456",419,"$23,456",-8.1%,"$1,144.2 ",-12.7%,"$25,047"
464,Progressive,USA,"31,721",-,"$23,441",12.4%,"$1,031.0 ",-18.7%,"$33,428"
465,Duke Energy,USA,"28,798",446,"$23,369",-1.0%,"$2,152.0 ",-23.6%,"$132,761"
466,Michelin,France,"105,654",451,"$23,120",-1.7%,"$1,853.4 ",43.0%,"$26,705"
467,Country Garden Holdings,China,"94,450",-,"$23,044",27.9%,"$1,733.6 ",17.4%,"$85,124"
468,Heineken Holding,Netherlands,"73,525",459,"$23,044",-0.7%,$861.5 ,-18.9%,"$41,469"
469,Enterprise Products,USA,"6,800",392,"$23,022",-14.8%,"$2,513.1 ",-0.3%,"$52,194"
470,AstraZeneca,Britain,"59,700",435,"$23,002",-6.9%,"$3,499.0 ",23.9%,"$62,526"
471,Amgen,USA,"19,200",487,"$22,991",6.1%,"$7,722.0 ",11.3%,"$77,626"
472,Rabobank,Netherlands,"40,029",445,"$22,956",-4.4%,$828.3 ,-15.1%,"$698,790"
473,Altice,Netherlands,"49,732",-,"$22,953",42.2%,"-$1,722.5 ",-,"$84,805"
474,Onex,Canada,"161,000",483,"$22,943",3.8%,-$130.0 ,-,"$42,913"
475,US Foods Holding,USA,"25,000",461,"$22,919",-0.9%,$209.8 ,25.2%,"$8,945"
476,Shanxi Jincheng Anthracite Coal Mining,China,"135,691",384,"$22,875",-17.0%,$3.0 ,-,"$32,954"
477,Randstad Holding,Netherlands,"32,280",494,"$22,873",7.3%,$650.2 ,13.0%,"$9,624"
478,Tencent Holdings,China,"38,775",-,"$22,871",39.7%,"$6,185.9 ",35.0%,"$56,968"
479,LG Display,South Korea,"49,094",429,"$22,840",-9.0%,$781.4 ,-8.6%,"$20,606"
480,Emirates Group,U.A.E,"64,768",472,"$22,799",0.3%,$340.3 ,-82.5%,"$33,096"
481,U.S. Bancorp,USA,"71,191",490,"$22,744",5.8%,"$5,888.0 ",0.2%,"$445,964"
482,H & M Hennes & Mauritz,Sweden,"114,586",488,"$22,618",4.6%,"$2,192.3 ",-12.3%,"$10,681"
483,Aflac,USA,"10,212",-,"$22,559",8.1%,"$2,659.0 ",5.0%,"$129,819"
484,Sodexo,France,"425,594",466,"$22,477",-2.0%,$707.2 ,-12.7%,"$15,766"
485,Suning Commerce Group,China,"60,354",-,"$22,366",3.7%,$106.0 ,-23.6%,"$19,738"
486,GS Caltex,South Korea,"2,949",431,"$22,207",-11.4%,"$1,221.1 ",42.1%,"$15,969"
487,Ultrapar Holdings,Brazil,"15,173",474,"$22,167",-2.3%,$447.5 ,-0.8%,"$7,426"
488,Xiamen C&D,China,"18,381",-,"$22,145",6.6%,$280.2 ,15.6%,"$21,729"
489,Sears Holdings,USA,"140,000",425,"$22,138",-12.0%,"-$2,221.0 ",-,"$9,362"
490,China General Technology,China,"38,589",383,"$22,113",-20.1%,$413.6 ,-20.8%,"$20,860"
491,National Grid,Britain,"22,132",471,"$22,036",-3.2%,"$10,150.6 ",160.2%,"$82,310"
492,Dollar General,USA,"121,000",-,"$21,987",7.9%,"$1,251.1 ",7.4%,"$11,672"
493,Telecom Italia,Italy,"61,227",404,"$21,941",-17.4%,"$1,999.4 ",-,"$74,295"
494,Xiamen ITG Holding Group,China,"18,454",-,"$21,930",34.3%,$35.6 ,-25.1%,"$12,161"
495,Xinjiang Guanghui Industry Investment,China,"65,616",-,"$21,919",31.1%,$251.8 ,49.9%,"$31,957"
496,Teva Pharmaceutical Industries,Israel,"56,960",-,"$21,903",11.5%,$329.0 ,-79.3%,"$92,890"
497,New China Life Insurance,China,"54,378",427,"$21,796",-13.3%,$743.9 ,-45.6%,"$100,609"
498,Morrisons,Britain,"77,210",437,"$21,741",-11.3%,$406.4 ,20.4%,"$11,630"
499,TUI,Germany,"66,779",467,"$21,655",-5.5%,"$1,151.7 ",195.5%,"$16,247"
500,AutoNation,USA,"26,000",-,"$21,609",3.6%,$430.5 ,-2.7%,"$10,060"
